region,sub-region,country,disease,outbreaks
Asia,Western Asia,Israel,COVID-19,3
Asia,Western Asia,Israel,Measles,1
Asia,Western Asia,Israel,West Nile Virus,2
Europe,Southern Europe,Italy,Influenza,5
Europe,Southern Europe,Italy,Acute Hepatitis A,1
Europe,Southern Europe,Italy,COVID-19,3
Europe,Southern Europe,Italy,Chikungunya Virus,1
Europe,Southern Europe,Italy,Ebola,1
Europe,Southern Europe,Italy,Measles,1
Europe,Southern Europe,Italy,MERS,1
Europe,Southern Europe,Italy,SARS,1
Americas,Latin America and the Caribbean,Jamaica,Influenza,2
Americas,Latin America and the Caribbean,Jamaica,COVID-19,3
Americas,Latin America and the Caribbean,Jamaica,Dengue,1
Americas,Latin America and the Caribbean,Jamaica,Malaria,1
Americas,Latin America and the Caribbean,Jamaica,Zika Virus,1
Asia,Eastern Asia,Japan,Influenza,4
Asia,Eastern Asia,Japan,COVID-19,3
Asia,Eastern Asia,Japan,Escherichia Coli,1
Asia,Eastern Asia,Japan,Staph Food Poisoning,1
Asia,Eastern Asia,Japan,Measles,2
Europe,Northern Europe,Jersey,Influenza,1
Europe,Northern Europe,Jersey,COVID-19,3
Asia,Western Asia,Jordan,Influenza,1
Asia,Western Asia,Jordan,COVID-19,3
Asia,Western Asia,Jordan,MERS,3
Asia,Central Asia,Kazakhstan,Influenza,2
Asia,Central Asia,Kazakhstan,COVID-19,3
Asia,Central Asia,Kazakhstan,Measles,2
Africa,Sub-Saharan Africa,Kenya,Influenza,2
Africa,Sub-Saharan Africa,Kenya,Acute Polio,4
Africa,Sub-Saharan Africa,Kenya,COVID-19,3
Africa,Sub-Saharan Africa,Kenya,Chikungunya Virus,2
Africa,Sub-Saharan Africa,Kenya,Cholera,3
Africa,Sub-Saharan Africa,Kenya,Leptospirosis,1
Africa,Sub-Saharan Africa,Kenya,Malaria,1
Africa,Sub-Saharan Africa,Kenya,Meningococcal Meningitis,1
Africa,Sub-Saharan Africa,Kenya,Rift Valley Fever,5
Africa,Sub-Saharan Africa,Kenya,Yellow Fever,2
Oceania,Micronesia,Kiribati,Influenza,1
Oceania,Micronesia,Kiribati,COVID-19,1
Oceania,Micronesia,Kiribati,Dengue,1
Asia,Eastern Asia,North Korea,Influenza,2
Asia,Eastern Asia,South Korea,Influenza,4
Asia,Eastern Asia,South Korea,COVID-19,3
Asia,Eastern Asia,South Korea,Measles,1
Asia,Eastern Asia,South Korea,MERS,2
Asia,Eastern Asia,South Korea,SARS,1
Europe,Southern Europe,Kosovo,Tularaemia,2
Europe,Southern Europe,Kosovo,Unspecified Viral Haemorrhagic Fever,2
Asia,Western Asia,Kuwait,Influenza,1
Asia,Western Asia,Kuwait,COVID-19,3
Asia,Western Asia,Kuwait,MERS,2
Asia,Central Asia,Kyrgyzstan,COVID-19,3
Asia,Central Asia,Kyrgyzstan,Measles,3
Asia,South-eastern Asia,Laos,Influenza,5
Asia,South-eastern Asia,Laos,Acute Polio,2
Asia,South-eastern Asia,Laos,COVID-19,3
Asia,South-eastern Asia,Laos,Diphtheria,1
Europe,Northern Europe,Latvia,Influenza,3
Europe,Northern Europe,Latvia,COVID-19,3
Asia,Western Asia,Lebanon,Influenza,1
Asia,Western Asia,Lebanon,COVID-19,3
Asia,Western Asia,Lebanon,Measles,1
Asia,Western Asia,Lebanon,MERS,2
Africa,Sub-Saharan Africa,Lesotho,Influenza,1
Africa,Sub-Saharan Africa,Lesotho,COVID-19,3
Africa,Sub-Saharan Africa,Lesotho,Shigella Intestinal Infections,1
Africa,Sub-Saharan Africa,Liberia,Acute Polio,1
Africa,Sub-Saharan Africa,Liberia,COVID-19,3
Africa,Sub-Saharan Africa,Liberia,Cholera,5
Africa,Sub-Saharan Africa,Liberia,Ebola,2
Africa,Sub-Saharan Africa,Liberia,Infection,1
Africa,Sub-Saharan Africa,Liberia,Infectious Gastroenteritis or Colitis,1
Africa,Sub-Saharan Africa,Liberia,Lassa Fever,2
Africa,Sub-Saharan Africa,Liberia,Meningococcal Meningitis,1
Africa,Sub-Saharan Africa,Liberia,Yellow Fever,7
Africa,Northern Africa,Libya,Influenza,1
Africa,Northern Africa,Libya,COVID-19,3
Europe,Western Europe,Liechtenstein,COVID-19,3
Europe,Northern Europe,Lithuania,Influenza,1
Europe,Northern Europe,Lithuania,COVID-19,3
Europe,Western Europe,Luxembourg,Influenza,1
Europe,Western Europe,Luxembourg,COVID-19,3
Asia,Eastern Asia,Macao,Measles,1
Africa,Sub-Saharan Africa,Madagascar,Influenza,3
Africa,Sub-Saharan Africa,Madagascar,Acute Polio,2
Africa,Sub-Saharan Africa,Madagascar,COVID-19,3
Africa,Sub-Saharan Africa,Madagascar,Cholera,2
Africa,Sub-Saharan Africa,Madagascar,Measles,1
Africa,Sub-Saharan Africa,Madagascar,Plague,4
Africa,Sub-Saharan Africa,Madagascar,Rift Valley Fever,1
Africa,Sub-Saharan Africa,Madagascar,SARS,1
Africa,Sub-Saharan Africa,Malawi,Influenza,1
Africa,Sub-Saharan Africa,Malawi,Acute Polio,1
Africa,Sub-Saharan Africa,Malawi,COVID-19,3
Africa,Sub-Saharan Africa,Malawi,Cholera,1
Africa,Sub-Saharan Africa,Malawi,Plague,3
Asia,South-eastern Asia,Malaysia,Influenza,2
Asia,South-eastern Asia,Malaysia,COVID-19,3
Asia,South-eastern Asia,Malaysia,Cholera,1
Asia,South-eastern Asia,Malaysia,Dengue,2
Asia,South-eastern Asia,Malaysia,Infection,1
Asia,South-eastern Asia,Malaysia,Japanese Encephalitis Virus,1
Asia,South-eastern Asia,Malaysia,Measles,1
Asia,South-eastern Asia,Malaysia,MERS,2
Asia,South-eastern Asia,Malaysia,SARS,1
Asia,South-eastern Asia,Malaysia,Unspecified Virus,1
Asia,South-eastern Asia,Malaysia,Unspecified Viral Haemorrhagic Fever,1
Asia,Southern Asia,Maldives,Influenza,1
Asia,Southern Asia,Maldives,COVID-19,3
Asia,Southern Asia,Maldives,Zika Virus,1
Africa,Sub-Saharan Africa,Mali,Influenza,1
Africa,Sub-Saharan Africa,Mali,Acute Polio,1
Africa,Sub-Saharan Africa,Mali,COVID-19,3
Africa,Sub-Saharan Africa,Mali,Cholera,4
Africa,Sub-Saharan Africa,Mali,Ebola,1
Africa,Sub-Saharan Africa,Mali,Meningococcal Meningitis,3
Africa,Sub-Saharan Africa,Mali,Viral Meningitis,2
Africa,Sub-Saharan Africa,Mali,Yellow Fever,2
Europe,Southern Europe,Malta,COVID-19,3
Oceania,Micronesia,Marshall Islands,Influenza,1
Oceania,Micronesia,Marshall Islands,COVID-19,2
Americas,Latin America and the Caribbean,Martinique,Influenza,1
Americas,Latin America and the Caribbean,Martinique,COVID-19,3
Americas,Latin America and the Caribbean,Martinique,Dengue,1
Africa,Sub-Saharan Africa,Mauritania,Influenza,1
Africa,Sub-Saharan Africa,Mauritania,COVID-19,3
Africa,Sub-Saharan Africa,Mauritania,Cholera,1
Africa,Sub-Saharan Africa,Mauritania,Rift Valley Fever,2
Africa,Sub-Saharan Africa,Mauritania,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,Mauritius,Influenza,1
Africa,Sub-Saharan Africa,Mauritius,COVID-19,3
Africa,Sub-Saharan Africa,Mayotte,COVID-19,3
Africa,Sub-Saharan Africa,Mayotte,Dengue,1
Americas,Latin America and the Caribbean,Mexico,Influenza,3
Americas,Latin America and the Caribbean,Mexico,COVID-19,3
Americas,Latin America and the Caribbean,Mexico,Cholera,2
Americas,Latin America and the Caribbean,Mexico,Measles,3
Americas,Latin America and the Caribbean,Mexico,Pseudomonas Aeruginosa,1
Americas,Latin America and the Caribbean,Mexico,Venezuelan Equine Fever,1
Americas,Latin America and the Caribbean,Mexico,Zika Virus,1
Oceania,Micronesia,Micronesia,Influenza,1
Oceania,Micronesia,Micronesia,Cholera,1
Europe,Eastern Europe,Moldova,Influenza,1
Europe,Eastern Europe,Moldova,COVID-19,3
Europe,Western Europe,Monaco,Influenza,1
Europe,Western Europe,Monaco,COVID-19,3
Asia,Eastern Asia,Mongolia,Influenza,2
Asia,Eastern Asia,Mongolia,COVID-19,3
Asia,Eastern Asia,Mongolia,Cholera,1
Europe,Southern Europe,Montenegro,Influenza,2
Europe,Southern Europe,Montenegro,COVID-19,3
Americas,Latin America and the Caribbean,Montserrat,COVID-19,3
Africa,Northern Africa,Morocco,Influenza,3
Africa,Northern Africa,Morocco,COVID-19,3
Africa,Sub-Saharan Africa,Mozambique,Influenza,1
Africa,Sub-Saharan Africa,Mozambique,Acute Polio,1
Africa,Sub-Saharan Africa,Mozambique,COVID-19,3
Africa,Sub-Saharan Africa,Mozambique,Cholera,6
Africa,Sub-Saharan Africa,Mozambique,Infection,1
Africa,Sub-Saharan Africa,Mozambique,Plague,1
Africa,Sub-Saharan Africa,Mozambique,Viral Meningitis,1
Asia,South-eastern Asia,Myanmar,Influenza,2
Asia,South-eastern Asia,Myanmar,Acute Polio,2
Asia,South-eastern Asia,Myanmar,COVID-19,3
Asia,South-eastern Asia,Myanmar,Dengue,1
Asia,South-eastern Asia,Myanmar,Measles,1
Oceania,Micronesia,Nauru,Influenza,1
Asia,Southern Asia,Nepal,Influenza,1
Asia,Southern Asia,Nepal,COVID-19,3
Asia,Southern Asia,Nepal,Japanese Encephalitis Virus,1
Asia,Southern Asia,Nepal,Mosquito-borne Encephalitis,1
Europe,Western Europe,Netherlands,Influenza,2
Europe,Western Europe,Netherlands,Acute Hepatitis A,1
Europe,Western Europe,Netherlands,COVID-19,3
Europe,Western Europe,Netherlands,Escherichia Coli,1
Europe,Western Europe,Netherlands,Lassa Fever,2
Europe,Western Europe,Netherlands,Legionnaires' Disease,1
Europe,Western Europe,Netherlands,Marburg Disease,1
Europe,Western Europe,Netherlands,MERS,1
Europe,Western Europe,Netherlands,Yellow Fever,2
Europe,Western Europe,Netherlands,Zika Virus,1
Oceania,Melanesia,New Caledonia,Influenza,1
Oceania,Melanesia,New Caledonia,COVID-19,3
Oceania,Melanesia,New Caledonia,Dengue,1
Oceania,Australia and New Zealand,New Zealand,Influenza,2
Oceania,Australia and New Zealand,New Zealand,COVID-19,3
Oceania,Australia and New Zealand,New Zealand,Measles,1
Americas,Latin America and the Caribbean,Nicaragua,Influenza,2
Americas,Latin America and the Caribbean,Nicaragua,COVID-19,3
Americas,Latin America and the Caribbean,Nicaragua,Cholera,2
Americas,Latin America and the Caribbean,Nicaragua,Dengue,1
Americas,Latin America and the Caribbean,Nicaragua,Leptospirosis,1
Americas,Latin America and the Caribbean,Nicaragua,Malaria,1
Americas,Latin America and the Caribbean,Nicaragua,Zika Virus,1
Africa,Sub-Saharan Africa,Niger,Influenza,1
Africa,Sub-Saharan Africa,Niger,Acute Hepatitis E,1
Africa,Sub-Saharan Africa,Niger,Acute Polio,5
Africa,Sub-Saharan Africa,Niger,COVID-19,3
Africa,Sub-Saharan Africa,Niger,Cholera,6
Africa,Sub-Saharan Africa,Niger,Meningococcal Meningitis,7
Africa,Sub-Saharan Africa,Niger,Rift Valley Fever,1
Africa,Sub-Saharan Africa,Niger,Viral Meningitis,3
Africa,Sub-Saharan Africa,Niger,Yellow Fever,1
Africa,Sub-Saharan Africa,Nigeria,Influenza,4
Africa,Sub-Saharan Africa,Nigeria,Acute Hepatitis E,1
Africa,Sub-Saharan Africa,Nigeria,Acute Polio,6
Africa,Sub-Saharan Africa,Nigeria,COVID-19,3
Africa,Sub-Saharan Africa,Nigeria,Cholera,5
Africa,Sub-Saharan Africa,Nigeria,Ebola,1
Africa,Sub-Saharan Africa,Nigeria,Lassa Fever,7
Africa,Sub-Saharan Africa,Nigeria,Measles,2
Africa,Sub-Saharan Africa,Nigeria,Meningococcal Meningitis,7
Africa,Sub-Saharan Africa,Nigeria,Monkeypox,2
Africa,Sub-Saharan Africa,Nigeria,Viral Meningitis,1
Africa,Sub-Saharan Africa,Nigeria,Yellow Fever,5
Oceania,Polynesia,Niue,COVID-19,1
Europe,Southern Europe,North Macedonia,Influenza,1
Europe,Southern Europe,North Macedonia,COVID-19,3
Europe,Southern Europe,North Macedonia,Measles,1
Oceania,Micronesia,Northern Mariana Islands,COVID-19,3
Europe,Northern Europe,Norway,Influenza,3
Europe,Northern Europe,Norway,Acute Hepatitis A,1
Europe,Northern Europe,Norway,COVID-19,3
Europe,Northern Europe,Norway,Escherichia Coli,1
Europe,Northern Europe,Norway,Legionnaires' Disease,1
Europe,Northern Europe,Norway,Meningococcal Meningitis,1
Asia,Western Asia,Oman,Influenza,1
Asia,Western Asia,Oman,COVID-19,3
Asia,Western Asia,Oman,MERS,6
Asia,Southern Asia,Pakistan,Influenza,3
Asia,Southern Asia,Pakistan,Acute Polio,3
Asia,Southern Asia,Pakistan,COVID-19,3
Asia,Southern Asia,Pakistan,Cholera,1
Asia,Southern Asia,Pakistan,Dengue,2
Asia,Southern Asia,Pakistan,HIV,1
Asia,Southern Asia,Pakistan,Leishmaniasis,1
Asia,Southern Asia,Pakistan,Measles,1
Asia,Southern Asia,Pakistan,Typhoid Fever,1
Asia,Southern Asia,Pakistan,Unspecified Viral Haemorrhagic Fever,2
Oceania,Micronesia,Palau,COVID-19,2
Asia,Western Asia,Palestine,Influenza,1
Asia,Western Asia,Palestine,COVID-19,3
Asia,Western Asia,Palestine,Measles,1
Asia,Western Asia,Palestine,Viral Meningitis,1
Americas,Latin America and the Caribbean,Panama,Influenza,2
Americas,Latin America and the Caribbean,Panama,COVID-19,3
Americas,Latin America and the Caribbean,Panama,Hantavirus Pulmonary Syndrome,2
Americas,Latin America and the Caribbean,Panama,Zika Virus,1
Oceania,Melanesia,Papua New Guinea,Influenza,1
Oceania,Melanesia,Papua New Guinea,Acute Polio,2
Oceania,Melanesia,Papua New Guinea,COVID-19,3
Oceania,Melanesia,Papua New Guinea,Zika Virus,1
Americas,Latin America and the Caribbean,Paraguay,Influenza,1
Americas,Latin America and the Caribbean,Paraguay,COVID-19,3
Americas,Latin America and the Caribbean,Paraguay,Yellow Fever,1
Americas,Latin America and the Caribbean,Paraguay,Zika Virus,1
Americas,Latin America and the Caribbean,Peru,Influenza,2
Americas,Latin America and the Caribbean,Peru,COVID-19,3
Americas,Latin America and the Caribbean,Peru,Cholera,1
Americas,Latin America and the Caribbean,Peru,Oropouche Virus,1
Americas,Latin America and the Caribbean,Peru,Plague,1
Americas,Latin America and the Caribbean,Peru,Sylvatic Yellow Fever,1
Americas,Latin America and the Caribbean,Peru,Yellow Fever,1
Americas,Latin America and the Caribbean,Peru,Zika Virus,1
Asia,South-eastern Asia,Philippines,Influenza,2
Asia,South-eastern Asia,Philippines,Acute Polio,1
Asia,South-eastern Asia,Philippines,COVID-19,3
Asia,South-eastern Asia,Philippines,Cholera,1
Asia,South-eastern Asia,Philippines,Dengue,1
Asia,South-eastern Asia,Philippines,Ebola,2
Asia,South-eastern Asia,Philippines,Measles,1
Asia,South-eastern Asia,Philippines,Meningococcal Meningitis,1
Asia,South-eastern Asia,Philippines,MERS,1
Asia,South-eastern Asia,Philippines,SARS,1
Asia,South-eastern Asia,Philippines,Unspecified Viral Haemorrhagic Fever,1
Europe,Eastern Europe,Poland,Influenza,1
Europe,Eastern Europe,Poland,COVID-19,3
Europe,Eastern Europe,Poland,SARS,1
Europe,Southern Europe,Portugal,Influenza,3
Europe,Southern Europe,Portugal,Acute Hepatitis A,1
Europe,Southern Europe,Portugal,COVID-19,3
Europe,Southern Europe,Portugal,Dengue,1
Europe,Southern Europe,Portugal,Legionnaires' Disease,1
Europe,Southern Europe,Portugal,West Nile Virus,1
Americas,Latin America and the Caribbean,Puerto Rico,Influenza,1
Americas,Latin America and the Caribbean,Puerto Rico,COVID-19,3
Asia,Western Asia,Qatar,Influenza,1
Asia,Western Asia,Qatar,COVID-19,3
Asia,Western Asia,Qatar,MERS,7
Europe,Eastern Europe,Romania,Influenza,3
Europe,Eastern Europe,Romania,COVID-19,3
Europe,Eastern Europe,Romania,Measles,1
Europe,Eastern Europe,Romania,SARS,1
Europe,Eastern Europe,Romania,Viral Meningitis,1
Europe,Eastern Europe,Romania,West Nile Virus,1
Europe,Eastern Europe,Russia,Influenza,6
Europe,Eastern Europe,Russia,Acute Polio,1
Europe,Eastern Europe,Russia,Anthrax,1
Europe,Eastern Europe,Russia,COVID-19,3
Europe,Eastern Europe,Russia,Cholera,1
Europe,Eastern Europe,Russia,Measles,2
Europe,Eastern Europe,Russia,Unspecified Viral Haemorrhagic Fever,1
Europe,Eastern Europe,Russia,West Nile Virus,1
Africa,Sub-Saharan Africa,Rwanda,Influenza,2
Africa,Sub-Saharan Africa,Rwanda,COVID-19,3
Africa,Sub-Saharan Africa,Rwanda,Cholera,4
Africa,Sub-Saharan Africa,Rwanda,Infectious Gastroenteritis or Colitis,1
Africa,Sub-Saharan Africa,Rwanda,Measles,1
Africa,Sub-Saharan Africa,Rwanda,Meningococcal Meningitis,1
Africa,Sub-Saharan Africa,Rwanda,Viral Meningitis,2
Africa,Sub-Saharan Africa,Réunion,Influenza,1
Africa,Sub-Saharan Africa,Réunion,COVID-19,3
Africa,Sub-Saharan Africa,Réunion,Chikungunya Virus,1
Africa,Sub-Saharan Africa,Réunion,Dengue,2
Americas,Latin America and the Caribbean,Saint Barthélemy,COVID-19,3
Americas,Latin America and the Caribbean,Saint Barthélemy,Dengue,1
Americas,Latin America and the Caribbean,Saint Kitts and Nevis,Influenza,1
Americas,Latin America and the Caribbean,Saint Kitts and Nevis,COVID-19,3
Americas,Latin America and the Caribbean,Saint Lucia,Influenza,1
Americas,Latin America and the Caribbean,Saint Lucia,COVID-19,3
Americas,Latin America and the Caribbean,Saint Lucia,Zika Virus,1
Americas,Latin America and the Caribbean,Saint Martin,Influenza,1
Americas,Latin America and the Caribbean,Saint Martin,COVID-19,3
Americas,Latin America and the Caribbean,Saint Martin,Chikungunya Virus,1
Americas,Latin America and the Caribbean,Saint Martin,Dengue,1
Americas,Northern America,Saint Pierre and Miquelon,COVID-19,3
Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Influenza,1
Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,COVID-19,3
Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Zika Virus,1
Oceania,Polynesia,Samoa,Influenza,1
Oceania,Polynesia,Samoa,COVID-19,3
Oceania,Polynesia,Samoa,Measles,1
Europe,Southern Europe,San Marino,COVID-19,3
Africa,Sub-Saharan Africa,Sao Tome and Principe,Influenza,2
Africa,Sub-Saharan Africa,Sao Tome and Principe,COVID-19,3
Asia,Western Asia,Saudi Arabia,Influenza,1
Asia,Western Asia,Saudi Arabia,COVID-19,3
Asia,Western Asia,Saudi Arabia,Meningococcal Meningitis,1
Asia,Western Asia,Saudi Arabia,MERS,9
Asia,Western Asia,Saudi Arabia,Rift Valley Fever,1
Asia,Western Asia,Saudi Arabia,Yellow Fever,2
Africa,Sub-Saharan Africa,Senegal,Influenza,1
Africa,Sub-Saharan Africa,Senegal,Acute Polio,1
Africa,Sub-Saharan Africa,Senegal,COVID-19,3
Africa,Sub-Saharan Africa,Senegal,Chikungunya Virus,1
Africa,Sub-Saharan Africa,Senegal,Cholera,3
Africa,Sub-Saharan Africa,Senegal,Ebola,1
Africa,Sub-Saharan Africa,Senegal,Meningococcal Meningitis,1
Africa,Sub-Saharan Africa,Senegal,Viral Meningitis,1
Africa,Sub-Saharan Africa,Senegal,Yellow Fever,4
Europe,Southern Europe,Serbia,Influenza,2
Europe,Southern Europe,Serbia,COVID-19,3
Europe,Southern Europe,Serbia,Measles,2
Africa,Sub-Saharan Africa,Seychelles,Influenza,1
Africa,Sub-Saharan Africa,Seychelles,COVID-19,3
Africa,Sub-Saharan Africa,Seychelles,Plague,1
Africa,Sub-Saharan Africa,Sierra Leone,Acute Polio,1
Africa,Sub-Saharan Africa,Sierra Leone,COVID-19,3
Africa,Sub-Saharan Africa,Sierra Leone,Cholera,2
Africa,Sub-Saharan Africa,Sierra Leone,Ebola,1
Africa,Sub-Saharan Africa,Sierra Leone,Shigella Intestinal Infections,1
Africa,Sub-Saharan Africa,Sierra Leone,Lassa Fever,3
Africa,Sub-Saharan Africa,Sierra Leone,Yellow Fever,3
Asia,South-eastern Asia,Singapore,Influenza,2
Asia,South-eastern Asia,Singapore,COVID-19,3
Asia,South-eastern Asia,Singapore,Meningococcal Meningitis,2
Asia,South-eastern Asia,Singapore,Monkeypox,1
Asia,South-eastern Asia,Singapore,SARS,1
Asia,South-eastern Asia,Singapore,Unspecified Virus,1
Americas,Latin America and the Caribbean,Sint Maarten,Influenza,1
Americas,Latin America and the Caribbean,Sint Maarten,COVID-19,3
Europe,Eastern Europe,Slovakia,Influenza,1
Europe,Eastern Europe,Slovakia,COVID-19,3
Europe,Southern Europe,Slovenia,Influenza,3
Europe,Southern Europe,Slovenia,Acute Hepatitis A,1
Europe,Southern Europe,Slovenia,COVID-19,3
Europe,Southern Europe,Slovenia,SARS,1
Oceania,Melanesia,Solomon Islands,Influenza,1
Oceania,Melanesia,Solomon Islands,COVID-19,3
Africa,Sub-Saharan Africa,Somalia,Influenza,1
Africa,Sub-Saharan Africa,Somalia,Acute Polio,4
Africa,Sub-Saharan Africa,Somalia,COVID-19,3
Africa,Sub-Saharan Africa,Somalia,Cholera,6
Africa,Sub-Saharan Africa,Somalia,Infectious Gastroenteritis or Colitis,1
Africa,Sub-Saharan Africa,Somalia,Measles,1
Africa,Sub-Saharan Africa,Somalia,Meningococcal Meningitis,2
Africa,Sub-Saharan Africa,Somalia,Rift Valley Fever,1
Africa,Sub-Saharan Africa,Somalia,Viral Meningitis,1
Africa,Sub-Saharan Africa,South Africa,Influenza,2
Africa,Sub-Saharan Africa,South Africa,Arenavirus,1
Africa,Sub-Saharan Africa,South Africa,COVID-19,3
Africa,Sub-Saharan Africa,South Africa,Cholera,4
Africa,Sub-Saharan Africa,South Africa,Crimean-Congo Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,South Africa,Infection,1
Africa,Sub-Saharan Africa,South Africa,Listeriosis,1
Africa,Sub-Saharan Africa,South Africa,Rift Valley Fever,2
Africa,Sub-Saharan Africa,South Africa,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,South Sudan,Acute Hepatitis E,1
Africa,Sub-Saharan Africa,South Sudan,Acute Polio,3
Africa,Sub-Saharan Africa,South Sudan,COVID-19,3
Africa,Sub-Saharan Africa,South Sudan,Meningococcal Meningitis,1
Africa,Sub-Saharan Africa,South Sudan,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,South Sudan,Yellow Fever,1
Europe,Southern Europe,Spain,Influenza,3
Europe,Southern Europe,Spain,Acute Hepatitis A,1
Europe,Southern Europe,Spain,COVID-19,3
Europe,Southern Europe,Spain,Chikungunya Virus,1
Europe,Southern Europe,Spain,Dengue,1
Europe,Southern Europe,Spain,Ebola,1
Europe,Southern Europe,Spain,Shigella Intestinal Infections,1
Europe,Southern Europe,Spain,Legionnaires' Disease,1
Europe,Southern Europe,Spain,Listeriosis,1
Europe,Southern Europe,Spain,Meningococcal Meningitis,2
Europe,Southern Europe,Spain,MERS,1
Europe,Southern Europe,Spain,SARS,1
Asia,Southern Asia,Sri Lanka,Influenza,1
Asia,Southern Asia,Sri Lanka,COVID-19,3
Asia,Southern Asia,Sri Lanka,Dengue,1
Asia,Southern Asia,Sri Lanka,Infection,1
Africa,Northern Africa,Sudan,Influenza,2
Africa,Northern Africa,Sudan,Acute Hepatitis E,1
Africa,Northern Africa,Sudan,Acute Polio,2
Africa,Northern Africa,Sudan,COVID-19,3
Africa,Northern Africa,Sudan,Chikungunya Virus,1
Africa,Northern Africa,Sudan,Cholera,2
Africa,Northern Africa,Sudan,Dengue,1
Africa,Northern Africa,Sudan,Ebola,1
Africa,Northern Africa,Sudan,Infectious Gastroenteritis or Colitis,1
Africa,Northern Africa,Sudan,Shigella Intestinal Infections,1
Africa,Northern Africa,Sudan,Measles,1
Africa,Northern Africa,Sudan,Meningococcal Meningitis,6
Africa,Northern Africa,Sudan,Rift Valley Fever,3
Africa,Northern Africa,Sudan,Unspecified Viral Haemorrhagic Fever,2
Africa,Northern Africa,Sudan,Viral Meningitis,1
Africa,Northern Africa,Sudan,Viral Pneumonia,1
Africa,Northern Africa,Sudan,Yellow Fever,3
Americas,Latin America and the Caribbean,Suriname,Influenza,1
Americas,Latin America and the Caribbean,Suriname,COVID-19,3
Americas,Latin America and the Caribbean,Suriname,Yellow Fever,1
Americas,Latin America and the Caribbean,Suriname,Zika Virus,1
Europe,Northern Europe,Sweden,Influenza,2
Europe,Northern Europe,Sweden,Acute Hepatitis A,1
Europe,Northern Europe,Sweden,COVID-19,3
Europe,Northern Europe,Sweden,Escherichia Coli,1
Europe,Northern Europe,Sweden,Lassa Fever,1
Europe,Western Europe,Switzerland,Influenza,3
Europe,Western Europe,Switzerland,COVID-19,3
Europe,Western Europe,Switzerland,Escherichia Coli,1
Europe,Western Europe,Switzerland,SARS,1
Europe,Western Europe,Switzerland,Yellow Fever,1
Asia,Western Asia,Syria,Influenza,1
Asia,Western Asia,Syria,Acute Polio,3
Asia,Western Asia,Syria,COVID-19,3
Asia,Eastern Asia,Taiwan,Dengue,1
Asia,Eastern Asia,Taiwan,Enterovirus,1
Asia,Eastern Asia,Taiwan,SARS,1
Asia,Central Asia,Tajikistan,Influenza,1
Asia,Central Asia,Tajikistan,Acute Polio,1
Asia,Central Asia,Tajikistan,COVID-19,3
Asia,Central Asia,Tajikistan,Typhoid Fever,2
Africa,Sub-Saharan Africa,Tanzania,Influenza,2
Africa,Sub-Saharan Africa,Tanzania,COVID-19,3
Africa,Sub-Saharan Africa,Tanzania,Cholera,6
Africa,Sub-Saharan Africa,Tanzania,Ebola,1
Africa,Sub-Saharan Africa,Tanzania,Malaria,1
Africa,Sub-Saharan Africa,Tanzania,Meningococcal Meningitis,1
Africa,Sub-Saharan Africa,Tanzania,Rift Valley Fever,1
Africa,Sub-Saharan Africa,Tanzania,Viral Meningitis,1
Asia,South-eastern Asia,Thailand,Influenza,6
Asia,South-eastern Asia,Thailand,Botulism,1
Asia,South-eastern Asia,Thailand,COVID-19,3
Asia,South-eastern Asia,Thailand,Dengue,1
Asia,South-eastern Asia,Thailand,Diphtheria,1
Asia,South-eastern Asia,Thailand,MERS,2
Asia,South-eastern Asia,Thailand,SARS,1
Asia,South-eastern Asia,Timor-Leste,Influenza,1
Asia,South-eastern Asia,Timor-Leste,COVID-19,3
Asia,South-eastern Asia,Timor-Leste,Dengue,1
Asia,South-eastern Asia,Timor-Leste,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,Togo,Acute Polio,4
Africa,Sub-Saharan Africa,Togo,COVID-19,3
Africa,Sub-Saharan Africa,Togo,Cholera,2
Africa,Sub-Saharan Africa,Togo,Lassa Fever,3
Africa,Sub-Saharan Africa,Togo,Meningococcal Meningitis,2
Africa,Sub-Saharan Africa,Togo,Viral Meningitis,2
Africa,Sub-Saharan Africa,Togo,Yellow Fever,3
Oceania,Polynesia,Tonga,Influenza,1
Oceania,Polynesia,Tonga,COVID-19,2
Oceania,Polynesia,Tonga,Measles,1
Americas,Latin America and the Caribbean,Trinidad and Tobago,Influenza,1
Americas,Latin America and the Caribbean,Trinidad and Tobago,COVID-19,3
Americas,Latin America and the Caribbean,Trinidad and Tobago,Zika Virus,1
Africa,Northern Africa,Tunisia,Influenza,2
Africa,Northern Africa,Tunisia,COVID-19,3
Africa,Northern Africa,Tunisia,Measles,1
Africa,Northern Africa,Tunisia,MERS,1
Asia,Western Asia,Turkey,Influenza,3
Asia,Western Asia,Turkey,COVID-19,3
Asia,Western Asia,Turkey,Measles,1
Asia,Western Asia,Turkey,MERS,1
